filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
fa2y/malicious_samples/fec6779d4d6bd700f980dd3c7dfcb3c20665c15d4731e69e8576c1b43b898384.ps1,malicious,malicious,BLOCK,BLOCK,11.078125,True,113,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/34dcf2a22fa7555de2ab95c3d8ab5605de01345b8d741491e1907ecd50a5ea1f.ps1,malicious,malicious,BLOCK,BLOCK,11.7265625,True,114,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/fef9fdbb642fd0bebbc11aca6676ed8532eb3a5dd1c71eb38a260d4b21f9aaae.ps1,malicious,malicious,BLOCK,BLOCK,11.3671875,True,114,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1927.ps1,malicious,malicious,BLOCK,BLOCK,12.203125,True,115,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/0f5e36a549a4ec6e0605f7310205ebdd5141c532959bd9bf5ee25f06560e7c18.ps1,malicious,malicious,BLOCK,BLOCK,11.8046875,True,115,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/17dcaeeb7d93c8bc0150f4e1b471d81dd003be37bbaa6d2edf612dfb6a357dbc.ps1,malicious,malicious,BLOCK,BLOCK,11.890625,True,115,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
527.ps1,malicious,malicious,BLOCK,BLOCK,13.3359375,True,116,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/3bdbacef19e6f70b3bf22ba0e82a4b828b22f124ac9e7781ea1ab8b1e8111850.ps1,malicious,malicious,BLOCK,BLOCK,13.4921875,True,116,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1417.ps1,malicious,malicious,BLOCK,BLOCK,12.421875,True,117,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
765.ps1,malicious,malicious,BLOCK,BLOCK,11.609375,True,117,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/8c157e6e3ec424e585e53ae41ce6e13cd313e73f1891cd992b3ea7eeb866bad5.ps1,malicious,malicious,BLOCK,BLOCK,12.453125,True,118,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2770.ps1,malicious,malicious,BLOCK,BLOCK,13.09375,True,119,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/21d04d37dfb4551f54607a3532d6c0d5f46ec52c20ae6db78eb8a4f904a42994.ps1,malicious,malicious,BLOCK,BLOCK,10.6953125,True,119,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/fc04cb621163954fa0f60dfaec9b07b3c9c6a20600609940d59c8a3ef1684e87.ps1,malicious,malicious,BLOCK,BLOCK,13.15625,True,119,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2103.ps1,malicious,malicious,BLOCK,BLOCK,13.09375,True,120,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
3778.ps1,malicious,malicious,BLOCK,BLOCK,13.1953125,True,120,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/4afbe15a7453deb54b263466abdb0b3978eec9bc68bb48f2c6f02104b1dd4e6b.ps1,malicious,malicious,BLOCK,BLOCK,11.765625,True,120,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/eb0b8f27cf64698d40167593c0be5cc7dcb3c2dec4da0ab086632832964c736f.ps1,malicious,malicious,BLOCK,BLOCK,13.34375,True,120,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1183.ps1,malicious,malicious,BLOCK,BLOCK,13.4375,True,121,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1478.ps1,malicious,malicious,BLOCK,BLOCK,12.9609375,True,121,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/c088e1388ebd26f1611e21fb8ff0b4f7a382eafa3a54a8b360a9a9e996cce273.ps1,malicious,malicious,BLOCK,BLOCK,13.265625,True,121,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/069971512a08a2f16925382bb25f8143700426f91a23b6e96cd1c4fe591b6ce8.ps1,malicious,malicious,BLOCK,BLOCK,13.0625,True,122,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/4fc676e10c76d22f89c74c994760ab21044c1182366a0a5473b110d631cad6e6.ps1,malicious,malicious,BLOCK,BLOCK,13.265625,True,122,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1882.ps1,malicious,malicious,BLOCK,BLOCK,13.421875,True,123,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
78.ps1,malicious,malicious,BLOCK,BLOCK,13.1875,True,123,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/908973b4b78b33b5679069c6e4a4532cb6bd8c1aa29ecd4f13bf43121871dbc1-obf-out-obfuscatedast.ps1,malicious,malicious,BLOCK,BLOCK,13.140625,True,124,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/b16915fae19369d88a17a6358e452248110bfa4579f917215b2931adf84959f5.ps1,malicious,malicious,BLOCK,BLOCK,13.375,True,124,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
3262.ps1,malicious,malicious,BLOCK,BLOCK,13.3359375,True,125,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
446.ps1,malicious,malicious,BLOCK,BLOCK,13.1953125,True,125,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1724.ps1,malicious,malicious,BLOCK,BLOCK,13.421875,True,126,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2775.ps1,malicious,malicious,BLOCK,BLOCK,13.0234375,True,126,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2291.ps1,malicious,malicious,BLOCK,BLOCK,12.5703125,True,127,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
630.ps1,malicious,malicious,BLOCK,BLOCK,13.015625,True,127,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
708.ps1,malicious,malicious,BLOCK,BLOCK,12.765625,True,127,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/28ed8934f9387fde33d2a19029180008efc7572e4427f0e032f13550a3c1039a.ps1,malicious,malicious,BLOCK,BLOCK,13.25,True,128,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1405.ps1,malicious,malicious,BLOCK,BLOCK,12.3125,True,129,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2884.ps1,malicious,malicious,BLOCK,BLOCK,11.171875,True,129,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
696.ps1,malicious,malicious,BLOCK,BLOCK,12.734375,True,129,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/00801f96c6b496509c0cb902821bdafdcbba57dedf21af1b895f474f24cbb253.ps1,malicious,malicious,BLOCK,BLOCK,12.296875,True,129,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/13f4661c1c374af2ad6fc330b948e8e9505caa804a573a6ed3500280a2421d36.ps1,malicious,malicious,BLOCK,BLOCK,13.1640625,True,129,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/fd362f7b211de390cd673099bd746d4549b3cf2dfcd4d30edf01c1e8aaf8b632.ps1,malicious,malicious,BLOCK,BLOCK,13.1015625,True,129,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/6a716189d14d2ea0e573633ac9075ede550ab74e55b212820d4edb9415e655dd.ps1,malicious,malicious,BLOCK,BLOCK,12.9296875,True,130,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1662.ps1,malicious,malicious,BLOCK,BLOCK,12.859375,True,131,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/2a771f819c3acc12bac20d738d66012e2be6ca1dfafac39daee0972d12a52309.ps1,malicious,malicious,BLOCK,BLOCK,13.515625,True,131,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/ee9db34d2a631ffde5de442538b91f2349c04bbc56ef9a51a9d9121891e2025f.ps1,malicious,malicious,BLOCK,BLOCK,13.359375,True,131,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/eef58f790d1bae1a61be20c145fea11a70c2f028cd4786b86a4952229efefdef.ps1,malicious,malicious,BLOCK,BLOCK,13.328125,True,131,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1878.ps1,malicious,malicious,BLOCK,BLOCK,13.3046875,True,132,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/61d9c74e3ceb2ed56d3eacc3564a7e122934e7fe6fda9aef8a47327f4964ef01.ps1,malicious,malicious,BLOCK,BLOCK,11.78125,True,132,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1614.ps1,malicious,malicious,BLOCK,BLOCK,13.59375,True,133,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2458.ps1,malicious,malicious,BLOCK,BLOCK,12.90625,True,133,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
3425.ps1,malicious,malicious,BLOCK,BLOCK,13.296875,True,133,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
3843.ps1,malicious,malicious,BLOCK,BLOCK,13.421875,True,133,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
714.ps1,malicious,malicious,BLOCK,BLOCK,13.34375,True,133,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
537.ps1,malicious,malicious,BLOCK,BLOCK,13.34375,True,134,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/78410e63ba1777081b11999fc865729fe7810d340b2d54c6ce806e4b1140da00.ps1,malicious,malicious,BLOCK,BLOCK,13.53125,True,135,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1052.ps1,malicious,malicious,BLOCK,BLOCK,13.34375,True,136,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2137.ps1,malicious,malicious,BLOCK,BLOCK,13.4375,True,136,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2174.ps1,malicious,malicious,BLOCK,BLOCK,10.5,True,136,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
438.ps1,malicious,malicious,BLOCK,BLOCK,13.1953125,True,136,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/17986c869474fb98fa38009e9cf3a890a2940911978f7ba190490071210d945d.ps1,malicious,malicious,BLOCK,BLOCK,12.109375,True,136,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
119.ps1,malicious,malicious,BLOCK,BLOCK,13.453125,True,137,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
355.ps1,malicious,malicious,BLOCK,BLOCK,13.6484375,True,137,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
4014.ps1,malicious,malicious,BLOCK,BLOCK,12.59375,True,137,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/756c8c6d417ac2fdb1cc3aaf05a1ae94e83836e3ff15444329b8c6e3b1a0a1fd.ps1,malicious,malicious,BLOCK,BLOCK,13.40625,True,137,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
139.ps1,malicious,malicious,BLOCK,BLOCK,10.96875,True,138,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1861.ps1,malicious,malicious,BLOCK,BLOCK,13.25,True,138,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2312.ps1,malicious,malicious,BLOCK,BLOCK,12.5625,True,138,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1269.ps1,malicious,malicious,BLOCK,BLOCK,12.390625,True,139,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1322.ps1,malicious,malicious,BLOCK,BLOCK,11.28125,True,139,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2438.ps1,malicious,malicious,BLOCK,BLOCK,11.859375,True,139,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/fefa951333917fa97d95954c2bca05e0ff4af887f17a0c73e0522f256b8c5431-obf-out-obfuscatedast.ps1,malicious,malicious,BLOCK,BLOCK,11.609375,True,139,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1399.ps1,malicious,malicious,BLOCK,BLOCK,11.734375,True,140,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/9f65cac31bf5792dd7f279d61f5576241d425058ef9b72c289cac91f48ae3329.ps1,malicious,malicious,BLOCK,BLOCK,11.96875,True,140,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/b0c4041a617c4347ad79749b0da823e642f07d36eeee57e98d467a3950cb10e1.ps1,malicious,malicious,BLOCK,BLOCK,12.1328125,True,140,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1693.ps1,malicious,malicious,BLOCK,BLOCK,12.984375,True,141,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
179.ps1,malicious,malicious,BLOCK,BLOCK,12.8046875,True,141,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2294.ps1,malicious,malicious,BLOCK,BLOCK,10.7734375,True,141,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2713.ps1,malicious,malicious,BLOCK,BLOCK,12.703125,True,141,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2920.ps1,malicious,malicious,BLOCK,BLOCK,11.546875,True,141,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/30a5d1443d7e3e1e4f15af2900ccf25d5631d5475f52a33c93df91076a0e8264.ps1,malicious,malicious,BLOCK,BLOCK,11.140625,True,141,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/bb2fcf0a07ce7797c373c312a48e73d8d27ce6d4086a441398231f02c70d0227.ps1,malicious,malicious,BLOCK,BLOCK,12.671875,True,141,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
3426.ps1,malicious,malicious,BLOCK,BLOCK,11.984375,True,143,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/820fb4dfcda98e81a46fd94b2cd0c1d836b21f3a6049496da2e2d2b36fbc43e0.ps1,malicious,malicious,BLOCK,BLOCK,11.2265625,True,143,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1946.ps1,malicious,malicious,BLOCK,BLOCK,12.765625,True,144,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/2e165edb6b327a9458e15671321fd5cb559aa3dc0b0cc85dff3f57573f055b6b.ps1,malicious,malicious,BLOCK,BLOCK,12.484375,True,144,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/b8d5508beb51b47281ed14c07b878a821f09732ff03412c7cf07de000cfb561b.ps1,malicious,malicious,BLOCK,BLOCK,13.046875,True,144,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/c8efe9ea75325d965681babd0e363a5f874b98c2462ca9885b6d82145c5ab686.ps1,malicious,malicious,BLOCK,BLOCK,12.90625,True,145,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
3545.ps1,malicious,malicious,BLOCK,BLOCK,12.171875,True,146,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
2227.ps1,malicious,malicious,BLOCK,BLOCK,12.859375,True,147,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/0a42fe953d348fa27afa825371cdcff4339ad4ab197679064a472505ee83baf3.ps1,malicious,malicious,BLOCK,BLOCK,12.28125,True,148,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/c7cfdf42655d6eae22cedd1064c59cc40a299c531b3b8e246a12f8ff29c1fe85.ps1,malicious,malicious,BLOCK,BLOCK,13.53125,True,148,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1515.ps1,malicious,malicious,BLOCK,BLOCK,12.3203125,True,149,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1839.ps1,malicious,malicious,BLOCK,BLOCK,12.2109375,True,149,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/d9f001a517eede146eefa8c4228ed34123e67c62fe68c52dc1b0515f9c1b5b35.ps1,malicious,malicious,BLOCK,BLOCK,10.859375,True,149,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/0e58274ba5b05102c5ebbda053d6ead91e579748dd2ff12898a97018cb30f63e.ps1,malicious,malicious,BLOCK,BLOCK,13.203125,True,150,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/c462fce03909f9af47a91c1e605543aaa5aca4c4df638e0f49e2d3ce15a1bbbe.ps1,malicious,malicious,BLOCK,BLOCK,13.0234375,True,150,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1011.ps1,malicious,malicious,BLOCK,BLOCK,12.46875,True,151,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/60d7a22d2d7d01dbe177869e132609812d6efb46e61606a9d4e38cd2074ec58c.ps1,malicious,malicious,BLOCK,BLOCK,12.078125,True,151,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/b31a3f035f885235b587fb23c113b7555dcabcf44bd34f89f542e352aa341fd2.ps1,malicious,malicious,BLOCK,BLOCK,10.140625,True,151,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
1611.ps1,malicious,malicious,BLOCK,BLOCK,12.1171875,True,152,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
4030.ps1,malicious,malicious,BLOCK,BLOCK,10.953125,True,152,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/55268a1ea0d5427ddce703995757ea4f5c5d1e84ffb93d1e46c5dd4f2334c9bd.ps1,malicious,malicious,BLOCK,BLOCK,11.765625,True,153,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/7741d84041c2904a988bf4492beee28bc0556215e02df8476afdc853ee102e14.ps1,malicious,malicious,BLOCK,BLOCK,11.765625,True,155,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/bccd308c1363e2e108f38e9cd763bbe80cb5464d1c094981de1b335b747d0f5e.ps1,malicious,malicious,BLOCK,BLOCK,11.671875,True,158,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/ccd8419ee447ee7c2f52cb27a351dcb77daae51361cc1edae2e5768da436c05f.ps1,malicious,malicious,BLOCK,BLOCK,13.203125,True,158,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/13f495346db4ece9ce57f18bd0b098cf4bd1e5c595b533dce58fd830a8ade993.ps1,malicious,malicious,BLOCK,BLOCK,11.265625,True,159,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/8ad2a36c4d15536d982ccbc8dccaae3189f794b301bb9f971b6a96804543a18d.ps1,malicious,malicious,BLOCK,BLOCK,12.9453125,True,160,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/8c231e5bf8fd87348cce554a738fca8e3de0c59f10488fb3d8a4a30b87e9e0ae.ps1,malicious,malicious,BLOCK,BLOCK,10.7265625,True,160,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/d2623a0d89ae73e8249fa968427429cef4419adc8d75246df17f743df8fa0305.ps1,malicious,malicious,BLOCK,BLOCK,12.953125,True,163,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/2da43801a01108fac2061352323930e8ac9a133a7ed51519529c29a637371ad6.ps1,malicious,malicious,BLOCK,BLOCK,11.4375,True,164,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/c528a1f560026cdce272cfe1931aa7cb6ea99f55f3597c758d815fd71c600e8d.ps1,malicious,malicious,BLOCK,BLOCK,11.453125,True,164,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/c5932f74e85aed639c47fdec7aa98242ef66d187bc2e6faf070fb2fda0a116b0.ps1,malicious,malicious,BLOCK,BLOCK,12.84375,True,164,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/80c7a53cb5caef2b7119fa32b9553aa84f3b86e11695ec4e42192ba8d5603d56.ps1,malicious,malicious,BLOCK,BLOCK,13.0234375,True,165,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/4387e1a9aec419849f23201ecc4d4931e7cae61b876531f3af02828e4e2f42ba.ps1,malicious,malicious,BLOCK,BLOCK,12.4453125,True,166,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/ca78784d2aa3645fc240c636c836930fbfd06a82603db26100065cf12d669353.ps1,malicious,malicious,BLOCK,BLOCK,12.96875,True,168,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/bazaar_out/dac999815c194b81972a17489349a7ca344172255653211364ade7b79df69436.ps1,malicious,malicious,BLOCK,BLOCK,11.0078125,True,169,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/f2f4cc717edaea588fcab6c821532311a5e0f5547ee18a268dd52be4adea418e.ps1,malicious,malicious,BLOCK,BLOCK,11.171875,True,178,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/f103a6d3abb48a0536cc1cc84a95d30bca2d95518ad6534aa62d81ea9e738cac.ps1,malicious,malicious,BLOCK,BLOCK,12.5234375,True,183,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/3c87f33d5e61df0c265144748a15a73effc951d62def214a617d304d9f4d6d2d.ps1,malicious,malicious,BLOCK,BLOCK,13.09375,True,184,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/9311da1ab1efba77e8a9cdc4c5377208cd3ea856aa70792a25d0a6aad65135a2.ps1,malicious,malicious,BLOCK,BLOCK,10.6875,True,184,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/fed72bcf1a223ed5754756817a4ca5a21de504e9c05cba4373a98716a7f823b2.ps1,malicious,malicious,BLOCK,BLOCK,9.4375,True,184,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/758a7f8168ce5bee94ab3be7b0f49094ebbda49b29bdbf2ddc2fffe9ce00875d.ps1,malicious,malicious,BLOCK,BLOCK,10.2890625,True,185,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/ef03ad13da02deccc6d4953acb6ccb04af0959a2fffcc75282bd0cc62048c764.ps1,malicious,malicious,BLOCK,BLOCK,12.421875,True,185,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/fe2614f14927177fb7875629ed3de4334d513f4bdc9752bb437a5c826e85f844.ps1,malicious,malicious,BLOCK,BLOCK,12.53125,True,186,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
